shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Free Georgia,National Democratic Party of Georgia,United National Movement,Movement for Fair Georgia,Christian-Democratic Movement,Public Movement,Freedom Party,Georgian Group,New Rights,People's Party,Merab Kostava Society,Future Georgia,Labour Council of Georgia,Labour,Sportsman's Union,Georgian Dream
Tbilisi Precinct,67,6-67,681,49.9267,\N,\N,\N,\N,3.8136,\N,\N,\N,1,\N,\N,\N,0,1.2792,1.1133,0.3722,\N,\N,\N,\N,\N,\N,0.2937,0,25.8443,0,5.1395,0,0,0,0,0,0,0,0,1.4684,0,67.1072
Tbilisi Precinct,68,6-68,617,47.3886,\N,\N,\N,\N,2.5276,\N,\N,\N,1,\N,\N,\N,0,0.9042,1.0333,0.5889,\N,\N,\N,\N,\N,\N,0.3241,0,30.3079,0,4.7002,0,0,0,0,0,0,0,0,1.1345,0,63.3712
Tbilisi Precinct,69,6-69,683,46.7168,\N,\N,\N,\N,2.149,\N,\N,\N,0,\N,\N,\N,0,1.1458,1.1633,0.4111,\N,\N,\N,\N,\N,\N,0.4392,0,27.3792,0,4.0996,0,0,0,0,0,0,0,0,1.3177,0,66.7643
Tbilisi Precinct,70,6-70,776,51.3228,\N,\N,\N,\N,3.2419,\N,\N,\N,0,\N,\N,\N,0,1.4125,1.18,0.6056,\N,\N,\N,\N,\N,\N,0.2577,0,25,0,4.6392,0,0,0,0,0,0,0,0,1.933,0,68.1701
Tbilisi Precinct,71,6-71,483,47.3066,\N,\N,\N,\N,4.7337,\N,\N,\N,0,\N,\N,\N,0,1.0625,0.6833,0.2611,\N,\N,\N,\N,\N,\N,0,0,28.9855,0,4.9689,0,0,0,0,0,0,0,0,0.6211,0,65.4244
Tbilisi Precinct,72,6-72,530,45.0297,\N,\N,\N,\N,1.8519,\N,\N,\N,0,\N,\N,\N,0,0.9292,0.84,0.3611,\N,\N,\N,\N,\N,\N,0.1887,0,41.1321,0,5.0943,0,0,0,0,0,0,0,0,1.6981,0,51.8868
Tbilisi Precinct,73,6-73,586,43.961,\N,\N,\N,\N,2.9801,\N,\N,\N,5,\N,\N,\N,0,0.8958,0.9767,0.5333,\N,\N,\N,\N,\N,\N,0,0,41.9795,0,3.413,0,0,0,0,0,0,0,0,0,0,53.7543
Tbilisi Precinct,74,6-74,1163,89.9459,\N,\N,\N,\N,2.9215,\N,\N,\N,15,\N,\N,\N,0,2.8792,1.4733,0.3611,\N,\N,\N,\N,\N,\N,0.3439,0,55.374,0,2.9235,0,0,0,0,0,0,0,0,0.6879,0,39.3809
Tbilisi Precinct,75,6-75,683,47.2011,\N,\N,\N,\N,1.8678,\N,\N,\N,7,\N,\N,\N,0,1.1917,1.1267,0.4,\N,\N,\N,\N,\N,\N,0,0,28.5505,0,5.8565,0,0,0,0,0,0,0,0,1.4641,0,63.104
Tbilisi Precinct,76,6-76,372,78.3158,\N,\N,\N,\N,1.3263,\N,\N,\N,2,\N,\N,\N,0,0.7583,0.5133,0.2278,\N,\N,\N,\N,\N,\N,0,0,23.6559,0,1.0753,0,0,0,0,0,0,0,0,0.2688,0,74.4624
Tbilisi Precinct,77,6-77,1534,130.5532,\N,\N,\N,\N,3.0954,\N,\N,\N,7,\N,\N,\N,0,1.3583,1.0567,5.2222,\N,\N,\N,\N,\N,\N,0,0,62.6467,0,2.2164,0,0,0,0,0,0,0,0,0.9126,0,33.7679
