region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1 - Non-Parliamentary Opposition,2 - Armed Veterans Patriots,3 - United Opposition,5 - United National Movement,6 - Greens Party,7 - Name of the Lord,8 - Alliance of Patriots,9 - Self-governance to People,10 - Peoples Party,11 - Reformers,12 - Our Georgia,13 - Future Georgia,14 - Georgian Party,17 - Unity Hall,18 - Way of Georgia,20 - Labour Party,26 - Party of People,30 - Merab Kostava Society,36 - Labour Council,41 - Georgian Dream
,3,,42,,1321,11,175,406,514,1250,34,,,,,,,,8,,81,100,3,2,42,1,,6,,0,,,4,10,,0,1,222
,3,,43,,1275,8,121,354,460,1200,13,,,,,,,,13,,66,105,5,0,32,0,,2,,0,,,6,11,,0,0,207
,3,,44,,1409,8,171,418,542,1300,15,,,,,,,,10,,63,132,12,0,32,1,,5,,0,,,3,10,,0,1,258
,3,,45,,1093,6,185,463,578,1050,30,,,,,,,,14,,70,120,15,2,47,1,,2,,0,,,7,9,,3,2,256
,3,,46,,1096,10,132,364,431,1000,30,,,,,,,,12,,72,130,4,3,16,1,,0,,0,,,4,1,,0,0,158
,3,,47,,1420,8,206,491,610,1350,21,,,,,,,,19,,75,149,14,3,42,0,,1,,0,,,13,14,,1,0,258
,3,,48,,1593,5,219,473,608,1500,24,,,,,,,,9,,79,135,5,1,44,1,,1,,1,,,1,31,,1,0,276
,3,,49,,1501,12,183,402,525,1400,20,,,,,,,,10,,106,79,7,3,32,0,,3,,0,,,1,19,,0,1,244
,3,,50,,1275,7,186,436,543,1200,23,,,,,,,,14,,57,114,4,0,51,1,,0,,0,,,0,9,,7,1,261
,3,,51,,1432,12,207,486,620,1350,19,,,,,,,,15,,91,144,2,1,51,0,,2,,1,,,3,15,,0,1,275
,3,,52,,1335,11,180,390,526,1250,17,,,,,,,,18,,94,85,5,0,40,2,,1,,0,,,7,10,,0,0,244
